Specimen_ID,Species Common Name,Species Scientific Name,Length (cm),Length Type,Original_Length_Units,Weight (kg),Weight Type,Original_Weight_Units,Sex,Maturity,Maturity_Info,Alternate_Specimen_ID
344,Spiny Dogfish,Squalus suckleyi,71,Total Length(?),centimeters,,,,M,,,19
345,Spiny Dogfish,Squalus suckleyi,68,Total Length(?),centimeters,,,,M,,,20
346,Spiny Dogfish,Squalus suckleyi,84,Total Length(?),centimeters,,,,F,,,21
347,Spiny Dogfish,Squalus suckleyi,80,Total Length(?),centimeters,,,,F,,,22
348,Spiny Dogfish,Squalus suckleyi,82,Total Length(?),centimeters,,,,F,,,23
349,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,2021-020-001-027-001C
350,Pacific Sleeper Shark,Somniosus pacificus,113,Total Length,centimeters,,,,F,,,"102,159,571 (NA21)"
351,Pacific Sleeper Shark,Somniosus pacificus,129,Total Length,centimeters,,,,F,,,Sample 126
352,Pacific Sleeper Shark,Somniosus pacificus,144,Total Length,centimeters,27.1,Total,kilograms,F,,,Sample 145
353,Pacific Sleeper Shark,Somniosus pacificus,82.5,Total Length,centimeters,4.6,Total,kilograms,M,,,2023-010-096-027-001A (B2)
354,Pacific Sleeper Shark,Somniosus pacificus,117,Total Length,centimeters,,,,F,,,B3
355,Pacific Sleeper Shark,Somniosus pacificus,100,Total Length,centimeters,,,,F,,,"102,159,070"
356,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,"1,006,402"
357,Pacific Sleeper Shark,Somniosus pacificus,178,Total Length,centimeters,,,,M,,,53401
358,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,23001
359,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,80901
360,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,91901
361,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,992
362,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,993
363,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,995
364,Pacific Sleeper Shark,Somniosus pacificus,127,Precaudal Length,centimeters,14.12,Total,kilograms,F,,,996
365,Pacific Sleeper Shark,Somniosus pacificus,177,Precaudal Length,centimeters,37.56,Total,kilograms,F,,,997
366,Pacific Sleeper Shark,Somniosus pacificus,158,Precaudal Length,centimeters,,,,F,,,998
367,Pacific Sleeper Shark,Somniosus pacificus,151,Precaudal Length,centimeters,22.34,Total,kilograms,F,,,999
368,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,9911
369,Pacific Sleeper Shark,Somniosus pacificus,141,Total Length?,centimeters,19.42,Total,kilograms,F,,,9915
370,Pacific Sleeper Shark,Somniosus pacificus,111,Total Length?,centimeters,7.68,Total,kilograms,M,,,9920
371,Pacific Sleeper Shark,Somniosus pacificus,120,Total Length?,centimeters,12.62,Total,kilograms,M,,,9927
372,Pacific Sleeper Shark,Somniosus pacificus,163,Total Length?,centimeters,33.98,Total,kilograms,F,,,24
373,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,Na
374,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,28700
375,Pacific Sleeper Shark,Somniosus pacificus,160,Total Length,centimeters,31.64,Total,kilograms,M,,,1004914
376,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,30100
377,Pacific Sleeper Shark,Somniosus pacificus,216,Total Length,centimeters,,,,F,,,88900
378,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,25202
379,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,83601
380,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,4401
381,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,1
382,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,90701
383,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,5103
384,Pacific Sleeper Shark,Somniosus pacificus,170,Total Length,centimeters,,,,F,,,65601
385,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,72601
386,Pacific Sleeper Shark,Somniosus pacificus,136,Total Length,centimeters,18.34,Total,kilograms,F,,,Na
387,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,82801
388,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,780
389,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,20001
390,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,20000
391,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,8004
392,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,163001
393,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,92201
394,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,96201
395,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,Na
396,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,1004447
397,Pacific Sleeper Shark,Somniosus pacificus,317,Total Length?,centimeters,,,,M,,,38610
398,Pacific Sleeper Shark,Somniosus pacificus,152,Total Length,centimeters,20.24,missing organs,kilograms,,,,18
399,Pacific Sleeper Shark,Somniosus pacificus,144,Total Length,centimeters,18.12,Total,kilograms,M,,,2
400,Pacific Sleeper Shark,Somniosus pacificus,102,Total Length,centimeters,10.6,Total,kilograms,,,,16
401,Pacific Sleeper Shark,Somniosus pacificus,89,Total Length,centimeters,4.36,Total,kilograms,F,,,1
402,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,1811
403,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,51001
404,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,25201
405,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,80002
406,Pacific Sleeper Shark,Somniosus pacificus,88,Total Length?,centimeters,7.2,Total,kilograms,M,,,33
407,Pacific Sleeper Shark,Somniosus pacificus,150,Total Length?,centimeters,45.4,Total,kilograms,M,,,36
408,Pacific Sleeper Shark,Somniosus pacificus,110,Total Length?,centimeters,19.4,Total,kilograms,F,,,31
409,Pacific Sleeper Shark,Somniosus pacificus,106,Total Length?,centimeters,14.8,Total,kilograms,M,,,na
410,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,3551
411,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,3251
412,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,55000
413,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,35801
414,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,19
415,Pacific Sleeper Shark,Somniosus pacificus,120,Total Length?,centimeters,28.4,Total,kilograms,F,,,na
416,Pacific Sleeper Shark,Somniosus pacificus,106,Total Length?,centimeters,20.2,Total,kilograms,M,,,Na
417,Pacific Sleeper Shark,Somniosus pacificus,83,Total Length?,centimeters,3.81,Total,kilograms,M,,,49
418,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,26411
419,Pacific Sleeper Shark,Somniosus pacificus,147,Total Length?,centimeters,56.4,Total,kilograms,F,,,60
420,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,23002
421,Pacific Sleeper Shark,Somniosus pacificus,165,Total Length?,centimeters,42.92,Total,kilograms,F,,,36801
