Specimen_ID,Species Common Name,Species Scientific Name,Length (cm),Length Type,Original_Length_Units,Weight (kg),Weight Type,Original_Weight_Units,Sex,Maturity,Maturity_Info,Alternate_Specimen_ID
144,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,
145,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,2
146,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,4
147,Pacific Sleeper Shark,Somniosus pacificus,136,Precaudal Length,centimeters,48.7,Total,kilograms,F,,,8001
148,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,3
149,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,10702/10701
150,Pacific Sleeper Shark,Somniosus pacificus,365,precaudal Length,feet,1051,Total,pounds,,,,
151,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,
152,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,8008
153,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,8000
154,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,7000
155,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,8003
156,Pacific Sleeper Shark,Somniosus pacificus,120,Precaudal Length,centimeters,10.88,Total,kilograms,F,,,1006367
157,Pacific Sleeper Shark,Somniosus pacificus,135,Precaudal Length,centimeters,43.06,Total,kilograms,M,,,464001
158,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,8002/1002009
159,Pacific Sleeper Shark,Somniosus pacificus,113,Precaudal Length,centimeters,21,Total,kilograms,F,,,3
160,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,8005/1062071
161,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,69/1000890
162,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,8005/1002072
163,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,8007/1001103
164,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,8006/1002073
165,Pacific Sleeper Shark,Somniosus pacificus,80,Precaudal Length,centimeters,10.48,Total,kilograms,F,,,1002116
166,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,8001/1002052
167,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,8004/1002006
168,Pacific Sleeper Shark,Somniosus pacificus,176,Precaudal Length,centimeters,46.11,Total,kilograms,F,,,
169,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,7022/1002703
170,Pacific Sleeper Shark,Somniosus pacificus,387,Precaudal Length,centimeters,781.3,Total,kilograms,F,,,207505
171,Pacific Sleeper Shark,Somniosus pacificus,90,Precaudal Length,centimeters,11.56,Total,kilograms,M,,,140001
172,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,2687/1002687
173,Pacific Sleeper Shark,Somniosus pacificus,171,Precaudal Length,centimeters,146.66,Estimate,kilograms,M,,,6632/1006632
174,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,28903
175,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,102
182,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,6096/1006096
183,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,"0371/1000371 (may be same animal as spec # 182, need data sheets)"
184,Pacific Sleeper Shark,Somniosus pacificus,260,Precaudal Length,centimeters,425.94,Total,kilograms,M,,,36501
185,Pacific Sleeper Shark,Somniosus pacificus,465,Total Length,centimeters,1213,Estimate,kilograms,F,,,20731
